Ref,Val,Package,PosX,PosY,Rot,Side
"C5","100n","C_0402_1005Metric",182.499000,-157.556200,0.000000,bottom
"C6","100n","C_0402_1005Metric",180.975000,-157.175200,90.000000,bottom
"C7","1u","C_0402_1005Metric",182.499000,-147.828000,90.000000,bottom
"C8","1u","C_0402_1005Metric",180.721000,-152.222200,0.000000,bottom
"C9","100n","C_0402_1005Metric",180.086000,-154.381200,0.000000,bottom
"C10","100n","C_0402_1005Metric",184.150000,-136.271000,90.000000,bottom
"C11","100n","C_0402_1005Metric",182.499000,-135.813800,0.000000,bottom
"C12","100n","C_0402_1005Metric",183.416000,-144.526000,0.000000,bottom
"C13","100n","C_0402_1005Metric",185.039000,-156.921200,180.000000,bottom
"C14","100n","C_0402_1005Metric",184.023000,-130.429000,0.000000,bottom
"C15","100n","C_0402_1005Metric",185.674000,-154.381200,90.000000,bottom
"C16","10u","C_0805_2012Metric",181.991000,-127.508000,270.000000,bottom
"C17","10u","C_0805_2012Metric",184.912000,-127.381000,90.000000,bottom
